         2201_Oljato_(1947_XC)  1.3142916  1.5679939 39.611 15.67  0.22  0.15 4.493    0.43586    0.01960
            137108_(1999_AN10)  0.7187674  1.4834068 36.820 18.26  0.22  0.15 4.493    0.08858    0.00880
           506425_(2000_DQ110)  0.9555533  1.2986703 50.179 16.92  0.22  0.15 4.493    6.49454    0.07790
                   (2000_RN12)  0.3559526  1.2001633 49.284 20.09  0.22  0.15 4.493    1.58252    0.03640
             452376_(2002_AC5)  0.2198876  1.0111041 82.217 20.18  0.22  0.15 4.493    0.23602    0.01440
                     (2002_LW)  0.1556859  1.0201861 80.020 22.80  0.30  0.15 4.493    0.05318    0.00680
      99942_Apophis_(2004_MN4)  0.0748258  1.0344974 65.803 19.22  0.22  0.15 4.493    9.19916    0.09200
             340048_(2005_VT5)  0.6170005  1.3279027 46.228 19.41  0.22  0.15 4.493    0.05972    0.00720
              378358_(2007_LD)  0.7817144  1.4363197 42.168 19.32  0.22  0.15 4.493    0.02571    0.00470
                   (2007_TL23)  0.2013388  1.0982366 57.797 21.70  0.30  0.15 4.493    0.16694    0.01200
                    (2010_WQ7)  0.5127488  1.3040401 44.547 18.55  0.22  0.15 4.493    0.67631    0.02430
